%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1663722039656405425,0.0,0.0,0.0,0.0,0.0,0.0
1663722039676588701,0.0,0.0,0.0,0.0,0.0,0.0
1663722039696737982,0.0,0.0,0.0,0.0,0.0,0.0
1663722039716967031,0.0,0.0,0.0,0.0,0.0,0.0
1663722039737339509,0.0,0.0,0.0,0.0,0.0,0.0
1663722039757752345,0.0,0.0,0.0,0.0,0.0,0.0
1663722039778014013,0.0,0.0,0.0,0.0,0.0,0.0
1663722039798442256,0.0,0.0,0.0,0.0,0.0,0.0
1663722039818692900,0.0,0.0,0.0,0.0,0.0,0.0
1663722039839185467,0.0,0.0,0.0,0.0,0.0,0.0
1663722039859156365,0.0,0.0,0.0,0.0,0.0,0.0
1663722039879318944,0.0,0.0,0.0,0.0,0.0,0.0
1663722039899585804,0.0,0.0,0.0,0.0,0.0,0.0
1663722039919803165,0.0,0.0,0.0,0.0,0.0,0.0
1663722039939972828,0.0,0.0,0.0,0.0,0.0,0.0
1663722039960208482,0.0,0.0,0.0,0.0,0.0,0.0
1663722039981635488,0.0,0.0,0.0,0.0,0.0,0.0
1663722040001964062,0.0,0.0,0.0,0.0,0.0,0.0
1663722040022162821,0.0,0.0,0.0,0.0,0.0,0.0
1663722040042469696,0.0,0.0,0.0,0.0,0.0,0.0
1663722040062905413,0.0,0.0,0.0,0.0,0.0,0.0
1663722040083011480,0.0,0.0,0.0,0.0,0.0,0.0
1663722040103435474,0.0,0.0,0.0,0.0,0.0,0.0
1663722040123400865,0.0,0.0,0.0,0.0,0.0,0.0
1663722040143680144,0.0,0.0,0.0,0.0,0.0,0.0
1663722040163902799,0.0,0.0,0.0,0.0,0.0,0.0
1663722040184185568,0.0,0.0,0.0,0.0,0.0,0.0
1663722040204336446,0.0,0.0,0.0,0.0,0.0,0.0
1663722040224535253,0.0,0.0,0.0,0.0,0.0,0.0
1663722040244733865,0.0,0.0,0.0,0.0,0.0,0.0
1663722040264870664,0.0,0.0,0.0,0.0,0.0,0.0
1663722040285190634,0.0,0.0,0.0,0.0,0.0,0.0
1663722040305310503,0.0,0.0,0.0,0.0,0.0,0.0
1663722040325542773,0.0,0.0,0.0,0.0,0.0,0.0
1663722040345748086,0.0,0.0,0.0,0.0,0.0,0.0
1663722040365911865,0.0,0.0,0.0,0.0,0.0,0.0
1663722040385991324,0.0,0.0,0.0,0.0,0.0,0.0
1663722040406298420,0.0,0.0,0.0,0.0,0.0,0.0
1663722040426466085,0.0,0.0,0.0,0.0,0.0,0.0
1663722040446739777,0.0,0.0,0.0,0.0,0.0,0.0
1663722040466872498,0.0,0.0,0.0,0.0,0.0,0.0
1663722040487239864,0.0,0.0,0.0,0.0,0.0,0.0
1663722040507395815,0.0,0.0,0.0,0.0,0.0,0.0
1663722040527650978,0.0,0.0,0.0,0.0,0.0,0.0
1663722040547851836,0.0,0.0,0.0,0.0,0.0,0.0
1663722040568011503,0.0,0.0,0.0,0.0,0.0,0.0
1663722040588187879,0.0,0.0,0.0,0.0,0.0,0.0
1663722040608398836,0.0,0.0,0.0,0.0,0.0,0.0
1663722040628566556,0.0,0.0,0.0,0.0,0.0,0.0
1663722040648784181,0.0,0.0,0.0,0.0,0.0,0.0
1663722040668993963,0.0,0.0,0.0,0.0,0.0,0.0
1663722040689210666,0.0,0.0,0.0,0.0,0.0,0.0
1663722040709349380,0.0,0.0,0.0,0.0,0.0,0.0
1663722040729674882,0.0,0.0,0.0,0.0,0.0,0.0
1663722040749873343,0.0,0.0,0.0,0.0,0.0,0.0
1663722040770240838,0.0,0.0,0.0,0.0,0.0,0.0
1663722040790983280,0.0,0.0,0.0,0.0,0.0,0.0
1663722040810599208,0.0,0.0,0.0,0.0,0.0,0.0
1663722040833638214,0.0,0.0,0.0,0.0,0.0,0.0
1663722040851219822,0.0,0.0,0.0,0.0,0.0,0.0
1663722040871503796,0.0,0.0,0.0,0.0,0.0,0.0
1663722040891681637,0.0,0.0,0.0,0.0,0.0,0.0
1663722040911838630,0.0,0.0,0.0,0.0,0.0,0.0
1663722040931979658,0.0,0.0,0.0,0.0,0.0,0.0
1663722040952233622,0.0,0.0,0.0,0.0,0.0,0.0
1663722040972467490,0.0,0.0,0.0,0.0,0.0,0.0
1663722040992617163,0.0,0.0,0.0,0.0,0.0,0.0
1663722041012812368,0.0,0.0,0.0,0.0,0.0,0.0
1663722041033142862,0.0,0.0,0.0,0.0,0.0,0.0
1663722041053403892,0.0,0.0,0.0,0.0,0.0,0.0
1663722041073493192,0.0,0.0,0.0,0.0,0.0,0.0
1663722041093706009,0.0,0.0,0.0,0.0,0.0,0.0
1663722041113856599,0.0,0.0,0.0,0.0,0.0,0.0
1663722041134029007,0.0,0.0,0.0,0.0,0.0,0.0
